K,Percentage
1.0,1.82010810089e-13
2.0,29.7331232314
3.0,45.1583663713
4.0,51.682614138
5.0,57.8897031359
6.0,60.8283057505
7.0,64.514395511
8.0,67.6204504606
9.0,69.7468721628
10.0,71.3711374906
11.0,72.594997153
12.0,73.8706062184
13.0,74.778445126
14.0,75.8804610345
15.0,76.5630214259
16.0,77.2301740374
17.0,78.0187531435
18.0,78.6537127401
19.0,79.2384125431
20.0,79.5850651217
21.0,80.2875900238
22.0,80.8297124673
23.0,81.156544429
24.0,81.469629495
25.0,81.7842059489
26.0,82.2360057479
27.0,82.4447950656
28.0,82.9637697274
29.0,83.2351372272
30.0,83.5503821979
31.0,83.6623605596
32.0,83.9483723644
33.0,84.0623147578
34.0,84.4579473697
35.0,84.5846057625
36.0,84.7432923954
37.0,84.9638367755
38.0,85.0750980555
39.0,85.3937228712
40.0,85.5837351509
41.0,85.765383169
42.0,85.9376902459
43.0,85.9920501736
44.0,86.1454599494
45.0,86.3633816155
46.0,86.4936857492
47.0,86.57471432
48.0,86.8857039682
49.0,86.7587972262
