K,Sum
1.0,24353.8950083
2.0,21681.4765881
3.0,18374.9108099
4.0,17908.7766567
5.0,16685.8523904
6.0,15882.7467448
7.0,15525.6365033
8.0,15136.2523281
9.0,14682.8784863
10.0,14185.0050088
11.0,13797.4708038
12.0,13390.638382
13.0,13182.2715744
14.0,12975.8634055
15.0,12935.8151987
16.0,12650.4089201
17.0,12482.7024313
18.0,12430.1773566
19.0,12239.3179197
20.0,12206.070474
21.0,11934.2425192
22.0,11854.5629038
23.0,11738.806581
24.0,11614.5437897
25.0,11654.4017575
26.0,11311.5311108
27.0,11401.6520801
28.0,11188.4773216
29.0,11064.4688183
30.0,10961.8511011
31.0,10887.1249417
32.0,10823.6043969
33.0,10808.4902985
34.0,10795.8990393
35.0,10637.1350689
36.0,10619.2047765
37.0,10564.4986645
38.0,10424.746978
39.0,10438.1706643
40.0,10419.3677793
41.0,10296.7069817
42.0,10183.1975488
43.0,10164.9076074
44.0,10168.0498093
45.0,10122.2314305
46.0,10022.6631968
47.0,9995.49231328
48.0,9929.99434403
49.0,9885.20948515
